namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	pr2_14_votersreg	pr2_14_votersvalid	pr2_14_nevolici	pr2_14_fico	pr2_14_kiska	
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	621	146	485	19	27	54	46	631	294	337	136	158	
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	358	69	307	8	23	18	20	376	163	213	90	73	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	94	222	42	1	48	3	316	47	269	15	32	
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	98	230	24	13	50	11	326	182	146	83	99	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	734	156	578	48	22	52	34	722	237	497	43	194	
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	39	266	5	2	25	7	302	118	187	51	67	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	142	53	89	17	10	23	3	142	65	77	41	24	
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	122	379	29	6	66	21	499	146	355	3	143	
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	33	79	4	8	17	4	112	53	59	28	25	
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	983	226	769	21	69	112	24	995	471	524	204	267	
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	917	196	721	31	19	108	38	900	316	601	51	265	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	140	480	57	7	44	32	620	194	426	20	174	
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	225	27	198	6	1	15	5	223	115	110	40	75	
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	64	247	10	8	44	2	309	172	139	119	53	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	53	115	6	10	32	5	168	102	66	75	27	
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	569	168	409	17	44	84	23	577	261	316	132	129	
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	895	186	709	22	22	110	32	886	436	459	238	198	
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	83	205	6	13	64	0	288	154	134	111	43	
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	637	148	489	17	36	86	9	634	292	345	190	102	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	905	228	677	26	72	85	45	878	414	491	177	237	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1073	122	951	15	42	42	23	1027	246	827	126	120	
