namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	eu_14_votersreg	eu_14_votersvalid	eu_14_nevolici	eu_14_other	eu_14_nova	eu_14_kdh	eu_14_smer	eu_14_most	eu_14_ol	eu_14_sas	eu_14_sdku	eu_14_smk		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	987	232	755	49	73	77	33	812	78	909	18	4	4	19	1	16	8	8	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1064	231	833	32	78	78	43	982	113	951	43	4	13	20	0	12	8	13	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	887	194	816	37	63	71	23	1010	130	880	34	11	8	26	3	20	14	14	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	207	851	22	70	70	45	863	98	960	25	9	14	14	1	11	12	12	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	945	215	822	22	70	68	55	1037	107	930	38	7	4	21	1	9	16	11	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	691	150	769	20	61	34	35	919	111	808	30	9	11	19	2	9	19	12	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	914	195	753	14	19	66	96	948	174	774	15	23	24	34	4	29	13	31	1		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	698	213	485	30	15	107	61	670	122	576	24	2	16	42	2	8	4	24	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	249	796	49	36	104	60	1032	121	924	19	6	12	43	0	19	5	17	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	251	566	23	28	143	57	790	129	688	34	0	14	42	1	10	3	25	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	677	183	494	13	24	101	45	665	101	576	17	6	5	38	4	8	4	19	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1000	232	768	37	30	115	50	979	110	890	15	5	7	48	2	8	8	17	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	835	220	615	24	27	109	60	807	73	762	10	0	17	21	2	10	2	11	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	221	721	28	42	111	40	941	101	841	25	4	7	33	0	14	3	15	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	762	175	611	22	32	72	49	786	77	709	21	8	13	21	0	6	4	4	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	621	146	475	19	27	54	46	616	72	549	21	4	4	8	0	14	2	19	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	358	69	301	8	23	18	20	370	28	342	11	3	2	8	0	0	3	1	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	94	227	42	1	48	3	321	33	288	4	1	0	1	3	11	0	0	13		
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	98	230	24	13	50	11	323	66	262	24	4	6	23	0	4	4	1	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	734	156	578	48	22	52	34	724	81	653	9	0	2	5	34	0	0	0	31		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	39	266	5	2	25	7	304	33	272	5	1	0	16	2	0	1	1	7		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	142	53	89	17	10	23	3	139	21	121	5	0	0	10	3	2	0	1	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	122	379	29	6	66	21	495	54	447	3	0	2	1	5	0	0	0	43		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	33	75	4	8	17	4	108	29	79	13	3	1	5	1	2	1	3	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	983	226	768	21	69	112	24	994	73	921	32	8	0	16	1	7	5	4	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	917	196	721	31	19	108	38	897	114	803	7	4	0	2	29	1	0	0	71		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	140	479	57	7	44	32	614	100	519	10	2	0	4	39	1	1	0	43		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	225	27	199	6	1	15	5	226	29	197	7	0	4	5	4	0	2	1	6		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	64	247	10	8	44	2	310	33	278	6	4	1	21	0	0	1	0	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	53	115	6	10	32	5	164	36	132	4	1	2	22	2	0	1	3	1		
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	569	168	407	17	44	84	23	575	49	526	16	2	1	19	0	0	4	7	0		
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	895	186	709	22	22	110	32	888	101	794	25	6	11	39	0	11	4	5	0		
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	83	204	6	13	64	0	286	67	220	10	0	1	55	0	0	1	0	0		
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	637	148	494	17	36	86	9	642	69	573	14	2	11	36	0	4	0	2	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	905	228	677	26	72	85	45	884	96	809	27	5	5	37	1	9	6	5	1		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1073	122	951	15	42	42	23	1057	58	1015	14	1	4	29	1	2	3	4	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	883	260	623	24	79	99	58	863	127	756	31	11	2	52	0	5	9	15	2		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	961	284	677	28	95	89	72	949	130	831	33	12	10	26	0	13	16	20	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	853	249	604	29	59	121	40	840	137	716	21	10	11	62	0	12	5	16	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	645	169	476	12	62	60	35	619	90	555	16	4	7	36	2	5	6	14	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	905	226	681	18	64	116	28	907	111	796	26	4	5	50	0	11	8	7	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	866	220	646	19	68	80	53	843	121	745	34	7	7	42	2	10	6	13	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	928	235	693	44	78	92	21	922	149	779	39	4	9	60	2	15	6	14	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	734	233	501	39	46	111	37	713	148	586	33	7	9	54	2	10	10	23	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	612	166	446	18	49	74	25	587	78	534	23	3	7	23	0	7	6	9	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	728	152	576	17	50	59	26	715	93	635	19	8	5	36	0	11	10	4	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	745	219	526	24	52	99	44	741	123	622	38	3	4	60	2	5	5	6	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	225	638	51	74	78	22	863	70	793	22	4	5	20	0	8	5	6	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1041	234	807	21	105	74	34	1039	79	962	30	2	7	11	0	13	9	7	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1039	252	787	25	124	69	34	1033	92	947	19	6	6	17	0	16	12	16	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1020	259	761	26	129	71	33	1018	95	925	26	11	7	21	0	15	9	6	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1012	221	791	29	118	49	25	988	76	936	18	4	8	12	0	18	8	8	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	645	85	560	11	30	25	19	641	43	602	12	7	3	13	0	1	4	3	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	845	160	689	34	61	40	25	849	48	801	21	0	6	13	1	3	3	1	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	69	152	14	16	26	13	218	30	191	12	0	9	4	0	0	2	2	1		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	87	16	77	1	2	12	1	93	11	82	4	0	0	7	0	0	0	0	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	817	142	679	23	44	51	24	821	115	706	31	6	19	33	0	10	2	14	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	948	173	801	33	48	72	20	974	128	846	35	4	25	37	0	20	3	4	0		
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1052	242	810	44	27	136	35	1040	141	911	20	4	22	56	2	13	10	14	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	11	34	0	1	10	0	45	13	32	7	0	1	2	2	1	0	0	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	93	125	13	20	59	1	218	63	155	18	3	1	39	2	0	0	0	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	92	135	7	5	71	9	225	58	169	18	1	1	1	10	0	0	0	27		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1154	180	974	23	32	85	40	1120	95	1059	17	4	2	18	24	3	1	7	19		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	432	121	311	9	24	77	11	431	64	368	21	3	0	23	1	4	2	7	3		
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	67	132	11	17	26	13	199	63	136	17	9	9	16	1	5	1	5	0		
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	487	108	379	10	40	56	2	486	77	410	27	4	3	26	0	7	4	6	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	828	205	624	49	60	78	18	829	109	720	35	0	31	26	1	9	2	5	0		
