namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc1_09_votersreg	vuc1_09_votersvalid	vuc1_09_nevolici	vuc1_09_other	vuc1_09_kotleba	vuc1_09_manka	vuc1_09_mikus	vuc1_09_simko
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	66	145	10	1	52	3	194	93	118	27	2	6	2	56
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	468	148	320	37	19	89	3	402	139	329	25	7	92	15	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1159	226	949	64	53	93	16	1175	315	860	76	43	127	51	18
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	495	93	419	30	8	47	8	512	130	382	36	14	52	21	7
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	167	21	151	5	3	12	1	172	32	140	6	2	17	5	2
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	49	158	7	14	22	6	207	36	171	4	7	20	4	1
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	774	188	586	28	17	91	52	753	283	491	190	19	33	34	7
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	92	321	24	8	42	18	401	158	255	108	10	2	26	12
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	128	797	5	9	70	44	856	199	726	74	6	75	42	2
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	69	276	16	6	40	7	341	59	286	10	9	24	16	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	326	57	269	6	6	21	24	310	124	202	16	3	14	87	4
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	45	273	10	10	24	1	318	83	235	52	3	18	10	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	463	114	349	5	23	76	10	434	139	324	21	10	55	30	23
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	79	179	12	19	32	16	235	56	202	9	3	24	19	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	42	87	4	10	25	3	123	41	88	4	4	24	8	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	9	15	0	2	7	0	24	9	15	0	1	5	3	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	97	262	15	33	42	7	344	80	279	9	8	56	6	1
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	10	51	2	3	4	1	61	8	53	1	1	6	0	0
