namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	vuc2_09_votersreg	vuc2_09_votersvalid	vuc2_09_nevolici	vuc2_09_manka	vuc2_09_mikus
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1273	394	879	254	140	1 260	383	890	269	114
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1086	313	775	166	147	1 088	198	890	121	77
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	161	366	92	69	527	145	382	106	39
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1231	296	935	168	128	1 152	236	995	168	68
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	54	166	14	40	205	46	174	16	30
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	66	318	29	37	52	5	379	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	2	88	19	307	13	6	326	53	273	30	23
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	3	120	24	96	18	6	92	21	99	13	8
Banskobystrickı kraj	606	Zvolen	605	Krupina	518280	Devièie	1	249	82	167	29	53	231	65	184	42	23
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	1	789	217	572	89	128	757	147	642	81	66
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	2	879	164	715	62	102	877	143	736	90	53
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518298	Dobrá Niva	1	1555	382	1173	237	145	1 533	308	1247	180	128
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	1	502	136	373	49	87	509	77	432	45	32
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	2	42	12	32	2	10	44	9	35	8	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515957	Dolinka	1	411	52	359	42	10	392	30	381	6	24
