namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	955	239	716	30	73	95	41	922	553	402	81	72	23	67	45	194	23	48	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	986	199	837	16	58	80	45	1036	566	470	76	32	23	71	58	223	12	71	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	666	134	532	18	43	53	20	662	351	315	42	17	18	57	28	144	17	28	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	940	176	764	24	61	63	28	912	518	422	90	18	18	83	43	213	17	36	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1065	243	822	35	93	82	33	1038	549	516	91	34	14	93	57	202	17	41	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	922	248	674	28	66	108	46	897	499	423	69	46	17	62	46	211	13	35	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1048	217	831	42	69	64	42	997	559	489	89	44	22	84	59	213	11	37	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	881	191	690	25	51	67	48	840	486	395	58	34	14	73	50	188	20	49	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	799	192	607	32	58	65	37	784	453	346	46	33	17	72	45	176	21	43	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	820	151	669	25	43	49	34	797	411	409	67	38	13	53	23	175	14	28	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	987	232	755	49	73	77	33	987	529	458	80	38	25	82	52	193	28	31	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1064	231	833	32	78	78	43	1048	567	497	85	44	16	72	51	227	24	48	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	887	194	693	37	63	71	23	842	469	418	77	33	11	71	46	172	17	42	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	207	851	22	70	70	45	1054	578	480	97	29	28	92	55	211	17	49	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	945	215	730	22	70	68	55	930	521	424	85	32	23	73	38	201	23	46	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	691	150	556	20	61	34	35	706	408	298	57	32	18	56	60	125	18	42	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	914	195	762	14	19	66	96	957	482	475	48	61	13	48	40	177	24	71	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	698	213	488	30	15	107	61	701	417	284	39	37	16	17	22	232	24	30	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	249	796	49	36	104	60	1040	538	507	60	63	36	37	19	274	13	35	1
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	251	566	23	28	143	57	804	503	314	52	46	14	49	25	281	8	28	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	677	183	502	13	24	101	45	685	405	280	31	28	16	42	17	236	6	29	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1000	232	768	37	30	115	50	996	585	415	78	38	24	60	25	317	7	36	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	835	220	619	24	27	109	60	839	454	385	65	44	19	35	27	221	19	24	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	221	721	28	42	111	40	899	545	397	67	38	29	47	31	296	11	26	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	762	175	643	22	32	72	49	818	418	400	69	30	13	40	14	221	7	24	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	621	146	475	19	27	54	46	536	309	312	32	27	23	33	11	162	4	17	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	358	69	294	8	23	18	20	363	183	180	18	5	10	8	11	114	1	15	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	94	227	42	1	48	3	321	119	202	3	1	3	0	0	4	7	7	94
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	98	237	24	13	50	11	335	231	104	31	17	43	21	6	106	1	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	734	156	592	48	22	52	34	748	413	335	20	2	7	2	8	31	147	4	192
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	39	266	5	2	25	7	292	116	189	12	2	1	4	1	54	21	7	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	142	53	89	17	10	23	3	138	78	64	5	2	7	1	2	51	4	6	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	122	379	29	6	66	21	492	236	265	14	0	0	0	1	10	47	4	160
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	33	78	4	8	17	4	111	59	52	11	7	2	0	3	29	3	4	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	983	226	757	21	69	112	24	982	553	430	82	50	19	86	37	260	2	17	0
